Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
------;Straftaten insgesamt;476353;443493;492904;473803;514654;520021;552201;555750;539292;544702;506351;465834;2015
0;Straftaten gegen das Leben;219;193;216;205;218;221;208;187;191;194;195;138;2015
10000;Mord § 211 StGB ;41;37;40;39;38;37;36;39;32;47;47;34;2015
10079;Sonstiger Mord;37;34;35;38;35;34;35;38;30;42;44;34;2015
11000;Mord im Zusammenhang mit Raubdelikten;4;2;3;1;1;3;1;1;0;5;3;0;2015
12000;Mord im Zusammenhang mit Sexualdelikten;0;1;2;0;2;0;0;0;2;0;0;0;2015
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;119;96;102;116;122;129;104;117;113;100;97;80;2015
20010;Totschlag § 212 StGB;115;95;101;115;120;128;103;116;112;100;96;78;2015
20020;Minder schwerer Totschlag § 213 StGB;0;0;1;0;1;0;0;1;1;0;0;0;2015
20030;Tötung auf Verlangen § 216 StGB;4;1;0;1;1;1;1;0;0;0;1;2;2015
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;46;49;61;46;47;46;58;28;38;35;40;18;2015
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;13;11;13;4;11;9;10;3;8;12;11;6;2015
40010;Schwangerschaftsabbruch § 218 StGB;5;10;8;1;7;5;9;1;5;7;8;5;2015
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;0;0;0;1;1;0;0;1;1;0;0;0;2015
40030;Ärztliche Pflichtverletzung § 218c StGB;0;1;0;0;0;0;0;0;0;0;0;0;2015
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;8;0;5;2;3;4;1;1;2;5;3;1;2015
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2015
100000;Straftaten gegen die sexuelle Selbstbestimmung;3012;2967;2976;2776;3115;3405;3539;3446;2858;2639;2535;2231;2015
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;817;788;815;741;935;899;995;1073;875;853;834;795;2015
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;476;455;442;397;532;497;543;635;472;453;442;425;2015
111100;Vergewaltigung überfallartig (Einzeltäter) gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;76;67;86;46;90;87;92;95;92;78;69;61;2015
111200;Vergewaltigung überfallartig (durch Gruppen) gemäß § 177 Abs. 2 Nr. 2 StGB;3;6;12;9;12;14;16;18;11;10;10;11;2015
111300;Vergewaltigung durch Gruppen gemäß § 177 Abs. 2 Nr. 2 StGB;15;11;19;13;25;17;12;18;24;12;18;41;2015
111400;Sonstige Straftaten gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;382;371;325;329;405;379;423;504;345;353;345;312;2015
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2015
112000;Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;306;301;344;312;372;372;417;403;370;362;360;342;2015
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;35;32;29;32;31;30;35;35;33;38;32;28;2015
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174  StGB;29;21;20;22;26;19;24;23;20;25;20;20;2015
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;2;3;0;0;1;2;1;4;2;3;4;1;2015
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;0;1;1;1;0;0;1;0;2;0;1;0;2015
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;4;7;8;9;4;9;9;8;9;10;7;7;2015
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;1358;1147;1362;1384;1622;1854;1968;1789;1389;1284;1137;1001;2015
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB ;800;581;700;653;755;865;847;721;616;587;551;445;2015
131010;Sexuelle Handlungen gemäß § 176 Abs. 5 StGB;5;3;6;6;5;7;7;7;4;5;4;1;2015
131100;Sexuelle Handlungen gemäß § 176 Abs. 1 und 2 StGB;298;238;308;279;306;353;352;316;263;240;251;191;2015
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;109;91;111;131;174;186;196;129;139;120;92;82;2015
131300;Sexuelle Handlungen gemäß § 176 Abs. 4 Nr. 2 StGB;47;27;34;35;29;41;43;25;27;25;20;23;2015
131400;Einwirken auf Kinder gemäß § 176 Abs. 4 Nr. 3 und 4 StGB;208;120;134;113;134;147;125;122;104;102;108;74;2015
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176a Abs. 2 Nr. 1 StGB;42;48;37;36;51;46;44;36;21;27;22;21;2015
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;4;4;4;4;5;11;7;5;2;10;7;7;2015
131700;Sonstiger schwerer sexueller Missbrauch von Kindern gemäß § 176a StGB;87;50;66;49;51;74;73;81;56;58;47;46;2015
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2015
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;405;406;522;567;677;812;931;893;615;555;452;429;2015
132010;Exhibitionistische Handlungen § 183 StGB;360;376;480;516;616;721;841;801;565;502;412;397;2015
132020;Erregung öffentlichen Ärgernisses § 183a StGB;45;30;42;51;61;91;90;92;50;53;40;32;2015
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;78;83;63;75;82;84;66;61;64;58;50;49;2015
134000;Sexueller Missbrauch Widerstandsunfähiger § 179 StGB;75;77;77;89;108;93;124;114;94;84;84;78;2015
140000;Ausnutzen sexueller Neigung gemäß §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f StGB ;751;877;707;528;473;525;434;424;410;310;273;84;2015
140000;Ausnutzen sexueller Neigung gemäß §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g StGB ;80;138;89;110;83;122;139;153;181;190;288;351;2015
140010;Ausübung der verbotenen Prostitution § 184e StGB;153;129;131;124;92;117;110;87;65;100;85;47;2015
140010;Ausübung der verbotenen Prostitution § 184f;0;3;1;1;1;3;3;1;7;11;15;43;2015
140020;Jugendgefährdende Prostitution § 184f StGB;2;0;1;0;1;0;1;0;0;1;0;0;2015
140020;Jugendgefährdende Prostitution § 184g;0;0;0;1;1;0;0;1;0;0;0;0;2015
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB ;10;10;15;7;6;9;11;15;5;6;5;6;2015
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;6;7;12;6;5;8;8;11;4;6;3;6;2015
141200;Ausbeuten von Prostituierten § 180a StGB;4;3;3;1;1;1;3;4;1;0;2;0;2015
142000;Zuhälterei gemäß § 181a StGB;17;10;15;13;15;9;10;16;11;11;15;8;2015
143000;Verbreitung pornographischer Schriften (Erzeugnisse) gemäß §§ 184, 184a, 184b, 184c, 184d StGB ;570;729;546;387;360;391;308;310;334;198;180;36;2015
143000;Verbreitung pornographischer Schriften (Erzeugnisse) gemäß §§ 184, 184a, 184b, 184c, 184d, 184e StGB;79;134;87;105;80;118;130;147;169;173;261;295;2015
143010;Sonstige Verbreitung pornographischer Schriften (Erzeugnisse) gemäß § 184 StGB;86;81;95;65;61;85;59;74;80;70;58;59;2015
143020;Verbreitung gewalt- oder tierpornographischer Schriften gemäß § 184a StGB;4;5;1;2;2;8;6;2;6;0;2;0;2015
143020;Verbreitung gewalt- oder tierpornographischer Schriften gemäß § 184a StGB;3;1;2;4;0;4;1;0;4;3;6;5;2015
143030;Verbreitung pornographischer Darbietungen durch Rundfunk, Medien- oder Teledienste gemäß § 184d StGB;9;12;15;4;15;10;4;7;4;4;2;3;2015
143030;Zugänglichmachen pornographischer Inhalte mittels Rundfunk oder Telemedien;1;2;0;0;0;2;2;2;2;1;3;10;2015
143040;Veranstaltung und Besuch kinder- und jugendpornographischer Darbietungen § 184e;0;0;0;0;0;0;0;0;0;0;0;0;2015
143100;Verbreitung pornographischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;134;88;86;52;66;71;50;52;57;80;73;63;2015
143200;Verbreitung kinderpornographischer Schriften (Erzeugnisse) durch gewerbs-/bandenmäßiges Handeln gemäß § 184b Abs. 3 StGB;3;11;3;6;4;2;1;3;0;0;1;0;2015
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornographischer Schriften gemäß § 184b StGB;55;110;76;84;59;63;92;98;91;81;141;145;2015
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornographie gemäß § 184b Abs. 1 StGB;23;30;31;35;28;28;50;56;43;38;85;75;2015
143211;Verbreitung von Kinderpornographie gemäß § 184b Abs. 1 Nr. 1 StGB;22;27;30;33;26;26;48;54;40;37;81;73;2015
143212;Besitzverschaffung für andere von Kinderpornographie gemäß § 184b Abs. 1 Nr. 2 StGB;1;3;0;2;2;0;2;0;1;0;1;1;2015
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornographie mit tatsächlichem Geschehen gemäß § 184b Abs. 1 Nr. 3 StGB;0;0;0;0;0;2;0;2;0;0;1;0;2015
143214;Herstellung mit Verbreitungsabsicht von Kinderpornographie gemäß § 184b Abs. 1 Nr. 4 StGB;0;0;1;0;0;0;0;0;2;1;2;1;2015
143220;Verbreitung und Herstellung von Kinderpornographie gewerbs-/bandenmäßig gemäß § 184b Abs. 2 StGB;0;1;0;0;0;1;0;1;2;0;1;1;2015
143230;Besitz oder sich Verschaffen von Kinderpornographie gemäß § 184b Abs. 3 StGB;32;79;45;49;31;34;42;41;46;43;55;69;2015
143300;Besitz/Verschaffung von Kinderpornographie gemäß § 184b Abs. 2 und 4 StGB;174;295;147;111;104;107;98;79;70;47;38;4;2015
143400;Verbreitung von Kinderpornographie gemäß § 184b Abs. 1 StGB;108;176;134;103;80;81;84;88;120;47;85;17;2015
143500;Verbreitung jugendpornographischer Schriften (Erzeugnisse) durch gewerbs-/ bandenmäßiges Handeln gemäß § 184c Abs. 3 StGB;0;1;1;2;1;0;0;0;2;0;0;0;2015
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornographischer Schriften gemäß § 184c StGB;4;11;1;8;6;30;12;13;21;20;20;23;2015
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornographie gemäß § 184c Abs. 1 StGB;2;8;0;4;5;10;6;3;10;13;14;15;2015
143511;Verbreitung von Jugendpornographie gemäß § 184c Abs. 1 Nr. 1 StGB;2;8;0;3;4;9;6;3;10;13;12;13;2015
