Schlüssel;Straftat;erfasste Fälle;Jahr
142000;Zuhälterei § 181a StGB;137;2020
143000;Verbreitung pornografischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d, 184e StGB;26739;2020
143010;Sonstige Verbreitung pornografischer Schriften (Erzeugnisse) § 184 StGB;1923;2020
143020;Verbreitung gewalt- oder tierpornografischer Schriften § 184a StGB;339;2020
143030;Zugänglichmachen pornografischer Inhalte mittels Rundfunk oder Telemedien;77;2020
143040;Veranstaltung und Besuch kinder- und jugendpornografischer Darbietungen § 184e StGB;1;2020
143100;Verbreitung pornografischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;2531;2020
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Schriften § 184b StGB;18761;2020
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB;9023;2020
143211;Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB;7624;2020
143212;Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB;990;2020
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;190;2020
143214;Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB;219;2020
143220;Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;52;2020
143230;Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB;9686;2020
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Schriften § 184c StGB;3107;2020
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB;1611;2020
143511;Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB;1216;2020
143512;Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB;158;2020
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB;106;2020
143514;Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB;131;2020
143520;Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;18;2020
143530;Besitz oder sich Verschaffen von Jugendpornografie § 184c Abs. 3 StGB;1478;2020
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;766262;2020
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;33872;2020
210010;Sonstiger Raub § 249 StGB;2916;2020
210020;Sonstiger schwerer Raub § 250 StGB;956;2020
210030;Sonstiger Raub mit Todesfolge § 251 StGB;2;2020
210040;Räuberischer Diebstahl § 252 StGB;7942;2020
210050;Sonstige räuberische Erpressung § 255 StGB;2564;2020
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;80;2020
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);58;2020
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;5;2020
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;26;2020
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;0;2020
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;27;2020
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;22;2020
211210;Raub auf Postfilialen und -agenturen § 249 StGB;3;2020
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;10;2020
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;0;2020
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;9;2020
212000;Raub, räuberische Erpressung auf/gegen sonstige Kassenräume und Geschäfte;2177;2020
212010;Raub auf sonstige Kassenräume oder Geschäfte § 249 StGB;211;2020
212020;Schwerer Raub auf sonstige Kassenräume oder Geschäfte § 250 StGB;669;2020
212030;Raub mit Todesfolge auf sonstige Kassenräume oder Geschäfte § 251 StGB;1;2020
212050;Räuberische Erpressung gegen sonstige Kassenräume oder Geschäfte § 255 StGB;454;2020
212100;Raub, räuberische Erpressung auf/gegen Spielhallen;263;2020
212110;Raub auf Spielhallen § 249 StGB;32;2020
212120;Schwerer Raub auf Spielhallen § 250 StGB;146;2020
212130;Raub mit Todesfolge auf Spielhallen § 251 StGB;0;2020
212150;Räuberische Erpressung gegen Spielhallen § 255 StGB;85;2020
212200;Raub, räuberische Erpressung auf/gegen Tankstellen;579;2020
212210;Raub auf Tankstellen § 249 StGB;40;2020
212220;Schwerer Raub auf Tankstellen § 250 StGB;322;2020
212230;Raub mit Todesfolge auf Tankstellen § 251 StGB;0;2020
212250;Räuberische Erpressung gegen Tankstellen § 255 StGB;217;2020
213000;Raub, räuberische Erpressung auf/gegen Geld- und Werttransporte;39;2020
213100;Raub, räuberische Erpressung auf/gegen Geld- und Kassenboten;38;2020
213110;Raub auf Geld- und Kassenboten § 249 StGB;19;2020
213120;Schwerer Raub auf Geld- und Kassenboten § 250 StGB;18;2020
213130;Raub mit Todesfolge auf Geld- und Kassenboten § 251 StGB;0;2020
213150;Räuberische Erpressung gegen Geld- und Kassenboten § 255 StGB;1;2020
213200;Raub, räuberische Erpressung auf/gegen Spezialgeldtransportfahrzeuge;1;2020
213210;Raub auf Spezialgeldtransportfahrzeuge § 249 StGB;1;2020
213220;Schwerer Raub auf Spezialgeldtransportfahrzeuge § 250 StGB;0;2020
213230;Raub mit Todesfolge auf Spezialgeldtransportfahrzeuge § 251 StGB;0;2020
213250;Räuberische Erpressung gegen Spezialgeldtransportfahrzeuge § 255 StGB;0;2020
214000;Räuberischer Angriff auf Kraftfahrer § 316a StGB;121;2020
214079;Räuberischer Angriff auf sonstige Kraftfahrer;69;2020
214100;Beraubung von Taxifahrern;52;2020
216000;Handtaschenraub;1006;2020
216010;Handtaschenraub § 249 StGB;907;2020
216020;Handtaschenraub § 250 StGB;88;2020
216030;Handtaschenraub mit Todesfolge § 251 StGB;0;2020
216050;Räuberische Erpressung bei Handtaschenraub § 255 StGB;11;2020
