Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
------;Straftaten insgesamt;518661;499272;480040;483196;501493;489860;491367;469708;464472;450309;426949;406558;2016
0;Straftaten gegen das Leben;251;255;241;242;239;218;268;223;189;189;163;152;2016
10000;Mord § 211 StGB;51;61;52;63;34;42;60;34;42;45;33;33;2016
10079;Sonstiger Mord;49;55;51;58;30;40;59;31;40;40;29;33;2016
11000;Mord im Zusammenhang mit Raubdelikten;2;5;1;4;4;2;0;3;2;4;2;0;2016
12000;Mord im Zusammenhang mit Sexualdelikten;0;1;0;1;0;0;1;0;0;1;2;0;2016
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;139;125;138;126;150;133;143;131;100;103;91;89;2016
20010;Totschlag § 212 StGB;135;124;132;125;149;131;139;128;99;102;90;88;2016
20020;Minder schwerer Totschlag § 213 StGB;0;0;0;1;1;1;0;0;0;0;0;0;2016
20030;Tötung auf Verlangen § 216 StGB;4;1;6;0;0;1;4;3;1;1;1;1;2016
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;49;59;45;42;45;37;58;47;41;37;34;26;2016
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;12;10;6;11;10;6;7;11;6;4;5;4;2016
40010;Schwangerschaftsabbruch § 218 StGB;7;6;5;6;6;6;6;9;5;3;2;2;2016
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;0;0;0;0;0;0;0;1;0;0;0;0;2016
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;2016
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;5;4;1;5;4;0;1;1;1;1;3;2;2016
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2016
50000;Geschäftsmäßige Förderung der Selbsttötung;0;0;0;0;0;0;0;0;0;0;0;0;2016
100000;Straftaten gegen die sexuelle Selbstbestimmung;3871;3060;2870;3149;3483;3702;3766;3439;3266;2651;2530;2367;2016
