Schlüssel;Straftat;erfasste Fälle;Jahr
------;Straftaten insgesamt;5436401;2019
0;Straftaten gegen das Leben;3054;2019
10000;Mord § 211 StGB;720;2019
10079;Sonstiger Mord;679;2019
11000;Mord im Zusammenhang mit Raubdelikten;37;2019
12000;Mord im Zusammenhang mit Sexualdelikten;4;2019
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1595;2019
20010;Totschlag § 212 StGB;1577;2019
20020;Minder schwerer Totschlag § 213 StGB;1;2019
20030;Tötung auf Verlangen § 216 StGB;17;2019
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;662;2019
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;76;2019
40010;Schwangerschaftsabbruch § 218 StGB;72;2019
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;2;2019
40030;Ärztliche Pflichtverletzung § 218c StGB;0;2019
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;1;2019
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;1;2019
50000;Geschäftsmäßige Förderung der Selbsttötung;1;2019
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;69881;2019
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29606;2019
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9426;2019
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;8541;2019
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);6766;2019
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;596;2019
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;1179;2019
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;883;2019
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;368;2019
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;388;2019
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;127;2019
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;2;2019
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;5929;2019
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;2616;2019
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;2615;2019
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;698;2019
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;574;2019
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;388;2019
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;41;2019
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;1;2019
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;144;2019
114000;Sexuelle Belästigung § 184i StGB;13645;2019
115000;Straftaten aus Gruppen § 184j StGB;32;2019
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;22137;2019
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;13670;2019
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;123;2019
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5671;2019
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1458;2019
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;523;2019
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;3264;2019
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;1035;2019
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;186;2019
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;1410;2019
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;2019
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;7567;2019
132010;Exhibitionistische Handlungen § 183 StGB;6588;2019
132020;Erregung öffentlichen Ärgernisses § 183a StGB;979;2019
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;900;2019
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;254;2019
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;646;2019
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g StGB;18138;2019
140010;Ausübung der verbotenen Prostitution § 184f StGB;554;2019
140020;Jugendgefährdende Prostitution § 184g StGB;10;2019
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;102;2019
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;76;2019
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;45;2019
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;31;2019
141200;Ausbeuten von Prostituierten § 180a StGB;26;2019
142000;Zuhälterei § 181a StGB;136;2019
143000;Verbreitung pornographischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d, 184e StGB;17336;2019
143010;Sonstige Verbreitung pornographischer Schriften (Erzeugnisse) § 184 StGB;1212;2019
143020;Verbreitung gewalt- oder tierpornographischer Schriften § 184a StGB;219;2019
143030;Zugänglichmachen pornographischer Inhalte mittels Rundfunk oder Telemedien;69;2019
143040;Veranstaltung und Besuch kinder- und jugendpornographischer Darbietungen § 184e StGB;0;2019
143100;Verbreitung pornographischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;1583;2019
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornographischer Schriften § 184b StGB;12262;2019
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornographie § 184b Abs. 1 StGB;6692;2019
143211;Verbreitung von Kinderpornographie § 184b Abs. 1 Nr. 1 StGB;5804;2019
143212;Besitzverschaffung für andere von Kinderpornographie § 184b Abs. 1 Nr. 2 StGB;652;2019
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornographie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;117;2019
143214;Herstellung mit Verbreitungsabsicht von Kinderpornographie § 184b Abs. 1 Nr. 4 StGB;119;2019
143220;Verbreitung und Herstellung von Kinderpornographie gewerbs-/bandenmäßig § 184b Abs. 2 StGB;93;2019
143230;Besitz oder sich Verschaffen von Kinderpornographie § 184b Abs. 3 StGB;5477;2019
143500;Verbreitung, Erwerb, Besitz und Herstellung jugendpornographischer Schriften § 184c StGB;1991;2019
143510;Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornographie § 184c Abs. 1 StGB;1130;2019
143511;Verbreitung von Jugendpornographie § 184c Abs. 1 Nr. 1 StGB;878;2019
143512;Besitzverschaffung für andere von Jugendpornographie § 184c Abs. 1 Nr. 2 StGB;90;2019
143513;Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornographie § 184c Abs. 1 Nr. 3 StGB;74;2019
143514;Herstellung mit Verbreitungsabsicht von Jugendpornographie § 184c Abs. 1 Nr. 4 StGB;88;2019
143520;Verbreitung und Herstellung von Jugendpornographie gewerbs-/bandenmäßig § 184c Abs. 2 StGB;20;2019
143530;Besitz oder sich Verschaffen von Jugendpornographie § 184c Abs. 3 StGB;841;2019
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;776795;2019
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;36052;2019
210010;Sonstiger Raub § 249 StGB;3261;2019
210020;Sonstiger schwerer Raub § 250 StGB;988;2019
