Schlüssel;Straftat;erfasste Fälle;Jahr
------;Straftaten insgesamt;5761984;2017
0;Straftaten gegen das Leben;3227;2017
10000;Mord § 211 StGB;785;2017
10079;Sonstiger Mord;735;2017
11000;Mord im Zusammenhang mit Raubdelikten;42;2017
12000;Mord im Zusammenhang mit Sexualdelikten;8;2017
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1594;2017
20010;Totschlag § 212 StGB;1570;2017
20020;Minder schwerer Totschlag § 213 StGB;7;2017
20030;Tötung auf Verlangen § 216 StGB;17;2017
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;737;2017
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;110;2017
40010;Schwangerschaftsabbruch § 218 StGB;78;2017
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;9;2017
40030;Ärztliche Pflichtverletzung § 218c StGB;2;2017
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;21;2017
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;2017
50000;Geschäftsmäßige Förderung der Selbsttötung;1;2017
100000;Straftaten gegen die sexuelle Selbstbestimmung;56047;2017
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;24523;2017
111000;Vergewaltigung und sexuelle Nötigung/Übergriffe §§ 177 Abs. 1, 2, 3, 4, 6, 7, 8 und 9, 178 StGB;11282;2017
111100;Vergewaltigung überfallartig (Einzeltäter) § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;946;2017
111200;Vergewaltigung überfallartig (durch Gruppen) § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;122;2017
111300;Vergewaltigung durch Gruppen § 177 Abs. 6 Nr. 2, Abs. 7 und 8 StGB;258;2017
111400;Sonstige Straftaten gemäß § 177 Abs. 6 Nr. 1, Abs. 7 und 8 StGB;6158;2017
111500;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;11;2017
111600;Sexuelle Übergriffe § 177 Abs. 1, 2, 3, 4, 7, 8 und 9 StGB;3787;2017
112000;Sonstige sexuelle Nötigung § 177 Abs. 5, 7, 8 und 9 StGB;2978;2017
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;607;2017
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;403;2017
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;34;2017
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;1;2017
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;169;2017
114000;Sexuelle Belästigung § 184i StGB;9619;2017
115000;Straftaten aus Gruppen § 184j StGB;37;2017
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;20601;2017
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;11547;2017
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;116;2017
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;5168;2017
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1516;2017
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;465;2017
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;2121;2017
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;826;2017
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;113;2017
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;1222;2017
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;2017
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;7783;2017
132010;Exhibitionistische Handlungen § 183 StGB;6902;2017
132020;Erregung öffentlichen Ärgernisses § 183a StGB;881;2017
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;990;2017
134000;Sexueller Missbrauch Widerstandsunfähiger § 179 StGB;281;2017
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g StGB;10923;2017
140010;Ausübung der verbotenen Prostitution § 184f StGB;592;2017
