Schlüssel;Straftat;erfasste Fälle;Jahr
213220;Schwerer Raub auf Spezialgeldtransportfahrzeuge § 250 StGB;1;2015
213230;Raub mit Todesfolge auf Spezialgeldtransportfahrzeuge § 251 StGB;0;2015
213250;Räuberische Erpressung gegen Spezialgeldtransportfahrzeuge § 255 StGB;0;2015
214000;Räuberischer Angriff auf Kraftfahrer § 316a StGB;263;2015
214079;Räuberischer Angriff auf sonstige Kraftfahrer;146;2015
214100;Beraubung von Taxifahrern;117;2015
216000;Handtaschenraub;2422;2015
216010;Handtaschenraub gemäß § 249 StGB;2223;2015
216020;Handtaschenraub gemäß § 250 StGB;169;2015
216030;Handtaschenraub mit Todesfolge gemäß § 251 StGB;0;2015
216050;Räuberische Erpressung bei Handtaschenraub gemäß § 255 StGB;30;2015
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;19102;2015
217010;Sonstiger Raub auf Straßen, Wegen oder Plätzen § 249 StGB;12673;2015
217020;Sonstiger schwerer Raub auf Straßen, Wegen oder Plätzen § 250 StGB;2837;2015
217030;Sonstiger Raub mit Todesfolge auf Straßen, Wegen oder Plätzen § 251 StGB;0;2015
217050;Sonstige räuberische Erpressung auf Straßen, Wegen oder Plätzen § 255 StGB;3592;2015
218000;Raub zur Erlangung von Betäubungsmitteln;116;2015
218010;Raub zur Erlangung von Betäubungsmitteln gemäß § 249 StGB;47;2015
218020;Schwerer Raub zur Erlangung von Betäubungsmitteln gemäß § 250 StGB;36;2015
218030;Raub mit Todesfolge zur Erlangung von Betäubungsmitteln gemäß § 251 StGB;0;2015
218050;Räuberische Erpressung zur Erlangung von Betäubungsmitteln gemäß § 255 StGB;33;2015
219000;Raubüberfälle in Wohnungen;2642;2015
219010;Raub in Wohnungen gemäß § 249 StGB;1272;2015
219020;Schwerer Raub in Wohnungen gemäß § 250 StGB;728;2015
219030;Raub mit Todesfolge in Wohnungen gemäß § 251 StGB;1;2015
219050;Räuberische Erpressung in Wohnungen gemäß § 255 StGB;641;2015
220000;Körperverletzung §§ 223-227, 229, 231 StGB;528863;2015
221000;Körperverletzung mit Todesfolge §§ 227, 231 StGB;90;2015
221010;Körperverletzung mit Todesfolge § 227 StGB;89;2015
221020;Beteiligung an einer Schlägerei mit Todesfolge gemäß § 231 StGB;1;2015
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;127395;2015
222010;Sonstige Tatörtlichkeit bei gefährlicher Körperverletzung gemäß § 224 StGB;70545;2015
222020;Sonstige Tatörtlichkeit bei schwerer Körperverletzung § 226 StGB;345;2015
222030;Sonstige Tatörtlichkeit bei Beteiligung an einer Schlägerei ohne Todesfolge § 231 StGB;26;2015
222040;Verstümmelung weiblicher Genitalien § 226a StGB;0;2015
222100;Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen;56479;2015
222110;Gefährliche Körperverletzung gemäß § 224 StGB auf Straßen, Wegen oder Plätzen;56234;2015
222120;Schwere Körperverletzung auf Straßen, Wegen oder Plätzen § 226 StGB;213;2015
222130;Beteiligung an einer Schlägerei ohne Todesfolge auf Straßen, Wegen oder Plätzen § 231 StGB;32;2015
223000;Misshandlung von Schutzbefohlenen § 225 StGB;4508;2015
223001;Misshandlung Schutzbefohlener ab 14 Jahren;1067;2015
223100;Misshandlung von Kindern;3441;2015
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;375541;2015
225000;Fahrlässige Körperverletzung § 229 StGB;21329;2015
230000;Straftaten gegen die persönliche Freiheit §§ 232-233a, 234, 235, 236, 237, 238-239b, 240, 241, 316c StGB;191704;2015
231000;Menschenraub, Entziehung Minderjähriger, Kinderhandel §§ 234, 235, 236 StGB;1617;2015
231100;Menschenraub § 234 StGB;9;2015
231200;Entziehung Minderjähriger § 235 StGB;1599;2015
231300;Kinderhandel § 236 StGB;9;2015
232000;Zwangsheirat, Nachstellung (Stalking), Freiheitsberaubung, Nötigung, Bedrohung §§ 237, 238, 239, 240, 241 StGB;189422;2015
232100;Freiheitsberaubung § 239 StGB;4686;2015
232200;Nötigung § 240 StGB;64883;2015
232201;Nötigung im Straßenverkehr gemäß § 240 Abs. 1 StGB;29293;2015
232279;Sonstige Nötigung gemäß § 240 Abs. 1 und 4 StGB;35590;2015
232300;Bedrohung § 241 StGB;100099;2015
232400;Nachstellung (Stalking) gemäß § 238 StGB;19704;2015
232410;Nachstellung (Stalking) gemäß § 238, Abs. 1 StGB;19484;2015
232420;Nachstellung (Stalking) gemäß § 238, Abs. 2 StGB;213;2015
232430;Nachstellung (Stalking) gemäß § 238, Abs. 3 StGB;7;2015
232500;Zwangsheirat § 237 StGB;50;2015
233000;Erpresserischer Menschenraub § 239a StGB;68;2015
233079;Sonstiger erpresserischer Menschenraub;66;2015
233100;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;2;2015
233200;Erpresserischer Menschenraub i.V.m. Raubüberfall auf sonstige Zahlstellen und Geschäfte;0;2015
233300;Erpresserischer Menschenraub i.V.m. Raubüberfall auf Geld- und Werttransporte;0;2015
234000;Geiselnahme § 239b StGB;26;2015
234079;Sonstige Geiselnahme;26;2015
234100;Geiselnahme i.V.m. Raubüberfall auf Geldinstitute, Postfilialen und -agenturen;0;2015
234200;Geiselnahme i.V.m. Raubüberfall auf sonstige Zahlstellen und Geschäfte;0;2015
234300;Geiselnahme i.V.m. Raubüberfall auf Geld- und Werttransporte;0;2015
235000;Angriff auf den Luft- und Seeverkehr § 316c StGB;3;2015
236000;Menschenhandel zum Zweck der sexuellen Ausbeutung gemäß § 232 StGB;505;2015
236100;Menschenhandel zum Zweck der sexuellen Ausbeutung gemäß § 232 Abs. 1 StGB;296;2015
236200;Menschenhandel z.N.v. Kindern zum Zweck der sexuellen Ausbeutung gemäß § 232 Abs.3 Nr. 1 StGB;9;2015
236300;Menschenhandel zum Zweck der sexuellen Ausbeutung gemäß § 232 Abs.3 Nr. 2 StGB;10;2015
236400;Gewerbs- oder bandenmäßiger Menschenhandel zum Zweck der sexuellen Ausbeutung gemäß § 232 Abs.3 Nr. 3 StGB;84;2015
236500;Menschenhandel zum Zweck der sexuellen Ausbeutung gemäß § 232 Abs. 4 StGB;106;2015
237000;Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft gemäß § 233 StGB;33;2015
237100;Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft gemäß § 233 Abs. 1 StGB;26;2015
237200;Menschenhandel z.N.v. Kindern zum Zweck der Ausbeutung der Arbeitskraft gemäß § 233 Abs. 3 mit Verweis auf § 232 Abs. 3 Nr. 1 StGB;1;2015
237300;Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft gemäß § 233 Abs. 3 mit Verweis auf § 232 Abs. 3 Nr. 2 StGB;0;2015
237400;Gewerbs- oder bandemäßiger Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft gemäß § 233 Abs. 3 mit Verweis auf § 232 Abs. 3 Nr. 3 StGB;3;2015
237500;Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft gemäß § 233 Abs. 3 mit Verweis auf § 232 Abs. 4 StGB;3;2015
238000;Förderung des Menschenhandel gemäß § 233a StGB;30;2015
238100;Förderung des Menschenhandel gemäß § 233a Abs. 1 StGB i.V.m. Menschenhandel zum Zweck der sexuellen Ausbeutung (§ 232 StGB);16;2015
238200;Förderung des Menschenhandels gemäß § 233a Abs. 1 StGB i.V.m. Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft (§ 233 StGB);10;2015
238300;Förderung des Menschenhandels gemäß § 233a Abs. 2 StGB i.V.m. Menschenhandel zum Zweck der sexuellen Ausbeutung (§ 232 StGB);3;2015
238400;Förderung des Menschenhandels gemäß § 233a Abs. 2 StGB i.V.m. Menschenhandel zum Zweck der Ausbeutung der Arbeitskraft (§ 233 StGB);1;2015
3***00;Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:;1348955;2015
3.00E+100;Einfacher Diebstahl von Kraftwagen einschl. unbefugte Ingebrauchnahme;7054;2015
3.00E+200;Einfacher Diebstahl von Mopeds und Krafträdern einschl. unbefugte Ingebrauchnahme;4705;2015
3.00E+300;Einfacher Diebstahl von Fahrrädern einschl. unbefugte Ingebrauchnahme;54138;2015
3**400;Einfacher Diebstahl von Schusswaffen;212;2015
3**500;Einfacher Diebstahl von unbaren Zahlungsmitteln;137898;2015
3**700;Einfacher Diebstahl von/aus Automaten;2248;2015
3**800;Einfacher Diebstahl von Antiquitäten, Kunst- und sakralen Gegenständen;865;2015
300000;Sonstiger einfacher Diebstahl §§ 242, 247, 248a-c StGB;364632;2015
300010;Sonstiger einfacher Diebstahl gem. 242, 247, 248a StGB;359181;2015
300040;Unbefugter Gebrauch eines sonstigen Fahrzeuges § 248b StGB;1000;2015
300050;Entziehung elektrischer Energie § 248c StGB;4451;2015
300100;Einfacher Diebstahl von Kraftwagen einschl. unbefugter Ingebrauchnahme;6830;2015
300110;Einfacher Diebstahl von Kraftwagen;3629;2015
300140;Unbefugter Gebrauch von Kraftwagen;3201;2015
300200;Einfacher Diebstahl von Mopeds und Krafträdern einschl. unbefugter Ingebrauchnahme;4622;2015
300210;Einfacher Diebstahl von Mopeds und Krafträdern;4060;2015
300240;Unbefugter Gebrauch von Mopeds und Krafträdern;562;2015
300300;Einfacher Diebstahl von Fahrrädern einschl. unbefugter Ingebrauchnahme;49106;2015
300310;Einfacher Diebstahl von Fahrrädern;47596;2015
300340;Unbefugter Gebrauch von Fahrrädern;1510;2015
300400;Einfacher Diebstahl von Schusswaffen;104;2015
300500;Einfacher Diebstahl von unbaren Zahlungsmitteln;41574;2015
300700;Einfacher Diebstahl von/aus Automaten;1928;2015
300800;Einfacher Diebstahl von Antiquitäten, Kunst- und sakralen Gegenständen;704;2015
305*00;Einfacher Diebstahl in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;2869;2015
305000;Einfacher Diebstahl in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl. von sonstigem Gut;2560;2015
305500;Einfacher Diebstahl in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl. von unbaren Zahlungsmitteln;309;2015
310*00;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;42272;2015
310000;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von sonstigem Gut;35991;2015
310100;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Kraftwagen;143;2015
310200;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Mopeds und Krafträdern;83;2015
310300;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Fahrrädern;568;2015
310400;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Schusswaffen;13;2015
310500;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von unbaren Zahlungsmitteln;5291;2015
310700;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von/aus Automaten;109;2015
310800;Einfacher Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von Antiquitäten, Kunst- und sakralen Gegenständen;74;2015
315*00;Einfacher Diebstahl in/aus Gaststätten, Kantinen, Hotels und Pensionen;39461;2015
315000;Einfacher Diebstahl in/aus Gaststätten, Kantinen, Hotels und Pensionen von sonstigem Gut;30024;2015
315500;Einfacher Diebstahl in/aus Gaststätten, Kantinen, Hotels und Pensionen von unbaren Zahlungsmitteln;9226;2015
315700;Einfacher Diebstahl in/aus Gaststätten, Kantinen, Hotels und Pensionen von/aus Automaten;211;2015
325*00;Einfacher Diebstahl in/aus Kiosken, Warenhäusern, Verkaufsräumen, Selbstbedienungsläden, Schaufenstern, Schaukästen und Vitrinen darunter:;410627;2015
325000;Einfacher Diebstahl in/aus Kiosken, Warenh., Verkaufsräumen pp. von sonstigem Gut;26940;2015
325300;Einfacher Diebstahl in/aus Kiosken, Warenh., Verkaufsräumen pp. von Fahrrädern;199;2015
325500;Einfacher Diebstahl in/aus Kiosken, Warenh., Verkaufsräumen pp. von unbaren Zahlungsmitteln;14023;2015
326*00;Einfacher Ladendiebstahl;369465;2015
326000;Einfacher Ladendiebstahl von sonstigem Gut;369221;2015
326300;Einfacher Ladendiebstahl von Fahrrädern;244;2015
335*00;Einfacher Diebstahl in/aus Wohnungen;54572;2015
335000;Einfacher Diebstahl in/aus Wohnungen von sonstigem Gut;50699;2015
335400;Einfacher Diebstahl in/aus Wohnungen von Schusswaffen;95;2015
335500;Einfacher Diebstahl in/aus Wohnungen von unbaren Zahlungsmitteln;3691;2015
335800;Einfacher Diebstahl in/aus Wohnungen von Antiquitäten, Kunst- und sakralen Gegenständen;87;2015
340*00;Einfacher Diebstahl in/aus Boden-, Kellerräumen und Waschküchen;12648;2015
340000;Einfacher Diebstahl in/aus Boden-, Kellerräumen und Waschküchen von sonstigem Gut;8627;2015
340300;Einfacher Diebstahl in/aus Boden-, Kellerräumen und Waschküchen von Fahrrädern;4021;2015
345*00;Einfacher Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen;11557;2015
345000;Einfacher Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen von sonstigem Gut;11139;2015
345100;Einfacher Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen von Kraftwagen;81;2015
345500;Einfacher Diebstahl in/aus überwiegend unbezogenen Neu- und Rohbauten, Baubuden und Baustellen von unbaren Zahlungsmitteln;337;2015
350*00;Einfacher Diebstahl an/aus Kraftfahrzeugen;141441;2015
350000;Einfacher Diebstahl an/aus Kraftfahrzeugen von sonstigem Gut;134611;2015
350500;Einfacher Diebstahl aus Kraftfahrzeugen von unbaren Zahlungsmitteln;6830;2015
371000;Einfacher Diebstahl von Betäubungsmitteln aus Apotheken;29;2015
372000;Einfacher Diebstahl von Betäubungsmitteln aus Arztpraxen;26;2015
373000;Einfacher Diebstahl von Betäubungsmitteln aus Krankenhäusern;247;2015
374000;Einfacher Diebstahl von Betäubungsmitteln bei Herstellern und Großhändlern;19;2015
375000;Einfacher Diebstahl von Rezeptformularen zur Erlangung von Betäubungsmitteln;122;2015
390000;Einfacher Taschendiebstahl von sonstigem Gut;106948;2015
390500;Einfacher Taschendiebstahl von unbaren Zahlungsmitteln;56617;2015
4***00;Diebstahl unter erschwerenden Umständen §§ 243-244a StGB und zwar:;1134739;2015
4.00E+100;Schwerer Diebstahl von Kraftwagen;29453;2015
4.00E+200;Schwerer Diebstahl von Mopeds und Krafträdern;20917;2015
4.00E+300;Schwerer Diebstahl von Fahrrädern;281036;2015
4**400;Schwerer Diebstahl von Schusswaffen;572;2015
4**500;Schwerer Diebstahl von unbaren Zahlungsmitteln;16070;2015
4**700;Schwerer Diebstahl von/aus Automaten;16363;2015
4**800;Schwerer Diebstahl von Antiquitäten, Kunst- und sakralen Gegenständen;905;2015
400000;Sonstiger schwerer Diebstahl insg. gem. §§ 243 - 244a StGB;158078;2015
400010;Besonders schwerer Fall des Diebstahls;153787;2015
400020;Sonstiger schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB;4291;2015
400100;Schwerer Diebstahl insg. von Kraftwagen;28341;2015
400110;Besonders schwerer Fall des Diebstahls von Kraftwagen;27027;2015
400120;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB von Kraftwagen;1314;2015
400200;Schwerer Diebstahl insg. von Mopeds und Krafträdern;20533;2015
400210;Besonders schwerer Fall des Diebstahls von Mopeds und Krafträdern;20306;2015
400220;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB von Mopeds und Krafträdern;227;2015
400300;Schwerer Diebstahl insg. von Fahrrädern;253086;2015
400310;Besonders schwerer Fall des Diebstahls von Fahrrädern;252454;2015
400320;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB von Fahrrädern;632;2015
400400;Schwerer Diebstahl insg. von Schusswaffen;125;2015
400410;Besonders schwerer Fall des Diebstahls von Schuswaffen;115;2015
400420;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB von Schusswaffen;10;2015
400500;Schwerer Diebstahl insg. von unbaren Zahlungsmitteln;1744;2015
400510;Besonders schwerer Fall des Diebstahls von unbaren Zahlungsmitteln;1680;2015
400520;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB von unbaren Zahlungsmitteln;64;2015
400700;Schwerer Diebstahl insg. von/aus Automaten;11544;2015
400710;Besonders schwerer Fall des Diebstahls von/aus Automaten;11318;2015
400720;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB von/aus Automaten;226;2015
400800;Schwerer Diebstahl insg. von Antiquitäten, Kunst- und sakralen Gegenständen;632;2015
400810;Besonders schwerer Fall des Diebstahls von Antiquitäten, Kunst- und sakralen Gegenständen;601;2015
400820;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB von Antiquitäten, Kunst- und sakralen Gegenständen;31;2015
405*00;Schwerer Diebstahl in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;1793;2015
405000;Schwerer Diebstahl insg. in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;1793;2015
405010;Besonders schwerer Fall des Diebstahls in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;1356;2015
405020;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB in/aus Banken, Sparkassen, Postfilialen und -agenturen und dgl.;437;2015
410*00;Schwerer Diebstahl in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen;89364;2015
410000;Schwerer Diebstahl insg. in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von sonstigem Gut;84730;2015
410010;Besonders schwerer Fall des Diebstahls in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von sonstigem Gut;83353;2015
410020;Schwerer Diebstahl gem. §§ 244 Abs. 1 Nr. 1 und 2, 244a StGB in/aus Dienst-, Büro-, Fabrikations-, Werkstatt- und Lagerräumen von sonstigem Gut;1377;2015
