Schlüssel;Straftat;erfasste Fälle;Jahr
------;Straftaten insgesamt;6330649;2015
0;Straftaten gegen das Leben;2991;2015
10000;Mord § 211 StGB;649;2015
10079;Sonstiger Mord;600;2015
11000;Mord im Zusammenhang mit Raubdelikten;36;2015
12000;Mord im Zusammenhang mit Sexualdelikten;13;2015
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1467;2015
20010;Totschlag § 212 StGB;1448;2015
20020;Minder schwerer Totschlag § 213 StGB;6;2015
20030;Tötung auf Verlangen § 216 StGB;13;2015
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;756;2015
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;119;2015
40010;Schwangerschaftsabbruch § 218 StGB;85;2015
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;6;2015
40030;Ärztliche Pflichtverletzung § 218c StGB;1;2015
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;27;2015
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;2015
100000;Straftaten gegen die sexuelle Selbstbestimmung;46081;2015
110000;Straftaten gegen die sexuelle Selbstbestimmung unter Gewaltanwendung oder Ausnutzen eines Abhängigkeitsverhältnisses §§ 174, 174a, 174b, 174c, 177, 178 StGB;12405;2015
111000;Vergewaltigung und sexuelle Nötigung §§ 177 Abs. 2, 3 und 4, 178 StGB;7022;2015
111100;Vergewaltigung überfallartig (Einzeltäter) gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;1134;2015
111200;Vergewaltigung überfallartig (durch Gruppen) gemäß § 177 Abs. 2 Nr. 2 StGB;146;2015
111300;Vergewaltigung durch Gruppen gemäß § 177 Abs. 2 Nr. 2 StGB;254;2015
111400;Sonstige Straftaten gemäß § 177 Abs. 2 Nr. 1, Abs. 3 und 4 StGB;5488;2015
111500;Vergewaltigung/sexuelle Nötigung mit Todesfolge § 178 StGB;0;2015
112000;Sonstige sexuelle Nötigung § 177 Abs. 1 und 5 StGB;4786;2015
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;597;2015
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;416;2015
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;26;2015
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;6;2015
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;149;2015
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;21860;2015
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;11808;2015
131010;Sexuelle Handlungen gemäß § 176 Abs. 5 StGB;127;2015
131100;Sexuelle Handlungen gemäß § 176 Abs. 1 und 2 StGB;5032;2015
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;1701;2015
131300;Sexuelle Handlungen gemäß § 176 Abs. 4 Nr. 2 StGB;592;2015
131400;Einwirken auf Kinder gemäß § 176 Abs. 4 Nr. 3 und 4 StGB;1958;2015
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung nach § 176a Abs. 2 Nr. 1 StGB;880;2015
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;117;2015
131700;Sonstiger schwerer sexueller Missbrauch von Kindern gemäß § 176a StGB;1401;2015
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;2015
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;7558;2015
132010;Exhibitionistische Handlungen § 183 StGB;6838;2015
132020;Erregung öffentlichen Ärgernisses § 183a StGB;720;2015
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;1103;2015
134000;Sexueller Missbrauch Widerstandsunfähiger § 179 StGB;1391;2015
140000;Ausnutzen sexueller Neigung gemäß §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f StGB;11816;2015
140010;Ausübung der verbotenen Prostitution § 184e StGB;1389;2015
140020;Jugendgefährdende Prostitution § 184f StGB;10;2015
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;147;2015
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;114;2015
141200;Ausbeuten von Prostituierten § 180a StGB;33;2015
142000;Zuhälterei gemäß § 181a StGB;229;2015
143000;Verbreitung pornographischer Schriften (Erzeugnisse) gemäß §§ 184, 184a, 184b, 184c, 184d StGB;10041;2015
143010;Sonstige Verbreitung pornographischer Schriften (Erzeugnisse) gemäß § 184 StGB;993;2015
143020;Verbreitung gewalt- oder tierpornographischer Schriften gemäß § 184a StGB;103;2015
143030;Verbreitung pornographischer Darbietungen durch Rundfunk, Medien- oder Teledienste gemäß § 184d StGB;117;2015
143100;Verbreitung pornographischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;1111;2015
143200;Verbreitung kinderpornographischer Schriften (Erzeugnisse) durch gewerbs-/bandenmäßiges Handeln gemäß § 184b Abs. 3 StGB;77;2015
143300;Besitz/Verschaffung von Kinderpornographie gemäß § 184b Abs. 2 und 4 StGB;3753;2015
143400;Verbreitung von Kinderpornographie gemäß § 184b Abs. 1 StGB;2730;2015
143500;Verbreitung jugendpornographischer Schriften (Erzeugnisse) durch gewerbs-/ bandenmäßiges Handeln gemäß § 184c Abs. 3 StGB;12;2015
143600;Besitz/Verschaffung von Jugendpornographie gemäß § 184c Abs. 2 und 4 StGB;548;2015
143700;Verbreitung von Jugendpornographie gemäß § 184c Abs. 1 StGB;597;2015
200000;Rohheitsdelikte und Straftaten gegen die persönliche Freiheit;765233;2015
210000;Raub, räuberische Erpressung und räuberischer Angriff auf Kraftfahrer §§ 249-252, 255, 316a StGB;44666;2015
210010;Sonstiger Raub § 249 StGB;3252;2015
210020;Sonstiger schwerer Raub § 250 StGB;1088;2015
210030;Sonstiger Raub mit Todesfolge § 251 StGB;0;2015
210040;Räuberischer Diebstahl § 252 StGB;9394;2015
210050;Sonstige räuberische Erpressung § 255 StGB;2658;2015
211000;Raub, räuberische Erpressung auf/gegen Geldinstitute, Postfilialen und -agenturen;203;2015
211100;Raub, räuberische Erpressung auf/gegen Geldinstitute (Banken/Sparkassen);148;2015
211110;Raub auf Geldinstitute (Banken/Sparkassen) § 249 StGB;13;2015
211120;Schwerer Raub auf Geldinstitute (Banken/Sparkassen) § 250 StGB;51;2015
211130;Raub mit Todesfolge auf Geldinstitute (Banken/Sparkassen) § 251 StGB;0;2015
211150;Räuberische Erpressung gegen Geldinstitute (Banken/Sparkassen) § 255 StGB;84;2015
211200;Raub, räuberische Erpressung auf/gegen Postfilialen und -agenturen;55;2015
211210;Raub auf Postfilialen und -agenturen § 249 StGB;5;2015
211220;Schwerer Raub auf Postfilialen und -agenturen § 250 StGB;30;2015
211230;Raub mit Todesfolge auf Postfilialen und -agenturen § 251 StGB;0;2015
211250;Räuberische Erpressung gegen Postfilialen und -agenturen § 255 StGB;20;2015
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;3416;2015
212010;Raub auf sonstige Zahlstellen oder Geschäfte § 249 StGB;281;2015
212020;Schwerer Raub auf sonstige Zahlstellen oder Geschäfte § 250 StGB;1200;2015
212030;Raub mit Todesfolge auf sonstige Zahlstellen oder Geschäfte § 251 StGB;0;2015
212050;Räuberische Erpressung gegen sonstige Zahlstellen oder Geschäfte § 255 StGB;671;2015
212100;Raub, räuberische Erpressung auf/gegen Spielhallen;628;2015
212110;Raub auf Spielhallen § 249 StGB;89;2015
212120;Schwerer Raub auf Spielhallen § 250 StGB;344;2015
212130;Raub mit Todesfolge auf Spielhallen § 251 StGB;0;2015
212150;Räuberische Erpressung gegen Spielhallen § 255 StGB;195;2015
212200;Raub, räuberische Erpressung auf/gegen Tankstellen;636;2015
212210;Raub auf Tankstellen § 249 StGB;69;2015
212220;Schwerer Raub auf Tankstellen § 250 StGB;336;2015
212230;Raub mit Todesfolge auf Tankstellen § 251 StGB;0;2015
212250;Räuberische Erpressung gegen Tankstellen § 255 StGB;231;2015
213000;Raub, räuberische Erpressung auf/gegen Geld- und Werttransporte;110;2015
213100;Raub, räuberische Erpressung auf/gegen Geld- und Kassenboten;108;2015
213110;Raub auf Geld- und Kassenboten § 249 StGB;54;2015
213120;Schwerer Raub auf Geld- und Kassenboten § 250 StGB;42;2015
213130;Raub mit Todesfolge auf Geld- und Kassenboten § 251 StGB;0;2015
213150;Räuberische Erpressung gegen Geld- und Kassenboten § 255 StGB;12;2015
213200;Raub, räuberische Erpressung auf/gegen Spezialgeldtransportfahrzeuge;2;2015
213210;Raub auf Spezialgeldtransportfahrzeuge § 249 StGB;1;2015
