Schlüssel;Straftat;erfasste Fälle;Jahr
------;Straftaten insgesamt;5555520;2018
0;Straftaten gegen das Leben;3254;2018
10000;Mord § 211 StGB;901;2018
10079;Sonstiger Mord;851;2018
11000;Mord im Zusammenhang mit Raubdelikten;42;2018
12000;Mord im Zusammenhang mit Sexualdelikten;8;2018
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;1570;2018
20010;Totschlag § 212 StGB;1553;2018
20020;Minder schwerer Totschlag § 213 StGB;3;2018
20030;Tötung auf Verlangen § 216 StGB;14;2018
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;680;2018
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;102;2018
40010;Schwangerschaftsabbruch § 218 StGB;79;2018
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;5;2018
40030;Ärztliche Pflichtverletzung § 218c StGB;1;2018
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;17;2018
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;2018
50000;Geschäftsmäßige Förderung der Selbsttötung;1;2018
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;63782;2018
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;29952;2018
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9234;2018
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;8106;2018
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);6491;2018
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;673;2018
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;942;2018
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;1119;2018
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;417;2018
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;543;2018
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;159;2018
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;9;2018
