Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
------;Straftaten insgesamt;454345;389577;464778;420077;440139;461665;457895;440481;420557;426300;394047;351173;2018
0;Straftaten gegen das Leben;239;195;224;241;244;252;220;193;220;178;158;137;2018
10000;Mord § 211 StGB;58;44;57;50;60;48;56;32;57;39;36;28;2018
10079;Sonstiger Mord;52;42;55;45;56;45;51;31;53;38;33;25;2018
11000;Mord im Zusammenhang mit Raubdelikten;5;2;2;4;3;2;3;1;3;1;3;3;2018
12000;Mord im Zusammenhang mit Sexualdelikten;1;0;0;1;1;1;2;0;1;0;0;0;2018
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;125;88;123;124;133;132;121;124;119;97;83;84;2018
20010;Totschlag § 212 StGB;122;86;122;123;131;132;120;123;118;95;83;84;2018
20020;Minder schwerer Totschlag § 213 StGB;1;1;0;0;1;0;0;0;0;1;0;0;2018
20030;Tötung auf Verlangen § 216 StGB;2;1;1;1;1;0;1;1;1;1;0;0;2018
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;52;54;40;60;48;59;38;34;41;35;36;23;2018
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;4;9;4;7;3;12;5;3;3;7;3;2;2018
40010;Schwangerschaftsabbruch § 218 StGB;4;7;4;6;3;8;5;3;3;6;2;2;2018
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;0;0;0;0;0;0;0;0;0;1;1;0;2018
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;1;0;0;0;0;0;0;2018
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;2;0;1;0;3;0;0;0;0;0;0;2018
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2018
50000;Geschäftsmäßige Förderung der Selbsttötung;0;0;0;0;0;1;0;0;0;0;0;0;2018
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;4328;3570;4949;3719;4536;5244;5295;4838;4255;4017;3410;2900;2018
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;2195;1968;2560;1859;2342;2614;2802;2519;2265;2208;1794;1521;2018
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;651;535;752;538;641;696;864;753;619;659;544;470;2018
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;572;490;701;488;594;641;807;682;576;604;506;442;2018
111710;Vergewaltigung § 177 Abs. 6  Nr. 1, 2 StGB (ohne Schlüssel 111730);451;396;577;396;488;510;645;561;452;480;405;332;2018
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1,  2  i. V. m. Abs. 7, 8 StGB;52;42;45;41;39;38;49;41;42;39;29;26;2018
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6  Nr. 1, 2  StGB;69;52;79;51;67;93;113;80;82;85;72;84;2018
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;79;45;50;50;47;53;54;71;43;55;38;28;2018
