Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
------;Straftaten insgesamt;445409;419172;374345;331797;389490;430446;447725;433122;419815;409654;374543;318173;2020
0;Straftaten gegen das Leben;227;211;179;217;243;236;217;213;194;203;165;117;2020
10000;Mord § 211 StGB;51;42;37;49;54;42;45;36;33;33;29;29;2020
10079;Sonstiger Mord;49;40;34;48;50;40;45;35;32;31;27;28;2020
11000;Mord im Zusammenhang mit Raubdelikten;2;2;3;1;4;1;0;1;1;2;1;1;2020
12000;Mord im Zusammenhang mit Sexualdelikten;0;0;0;0;0;1;0;0;0;0;1;0;2020
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;117;118;92;104;136;138;116;116;118;128;98;61;2020
20010;Totschlag § 212 StGB;114;118;91;104;134;136;115;114;117;127;96;60;2020
20020;Minder schwerer Totschlag § 213 StGB;0;0;0;0;0;0;1;0;0;0;0;0;2020
20030;Tötung auf Verlangen § 216 StGB;3;0;1;0;2;2;0;2;1;1;2;1;2020
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;48;46;45;64;50;51;47;55;37;37;31;26;2020
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;11;5;5;0;3;5;9;6;6;5;7;1;2020
40010;Schwangerschaftsabbruch § 218 StGB;9;5;5;0;3;5;7;6;6;5;7;1;2020
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;0;0;0;0;0;1;0;0;0;0;0;2020
40030;Ärztliche Pflichtverletzung § 218c StGB;1;0;0;0;0;0;0;0;0;0;0;0;2020
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;0;0;0;0;0;1;0;0;0;0;0;2020
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2020
50000;Geschäftsmäßige Förderung der Selbsttötung;0;0;0;0;0;0;0;0;0;0;0;0;2020
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;5666;5432;4338;3672;4966;6001;5750;6186;5293;4083;3794;3172;2020
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;2208;2325;1693;1351;1888;2401;2522;2622;2146;1788;1552;1280;2020
