Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;31;18;22;20;22;23;24;27;17;15;9;11;2017
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;3;1;4;1;2;3;1;3;2;2;2;3;2017
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;0;0;0;0;1;0;0;0;0;0;1;0;2017
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;9;15;9;13;16;9;10;10;8;16;7;5;2017
114000;Sexuelle Belästigung § 184i StGB;652;800;721;742;1014;1094;1122;1107;1055;989;925;797;2017
115000;Straftaten aus Gruppen § 184j StGB;6;5;1;1;1;6;2;6;1;1;0;4;2017
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 179, 182, 183, 183a StGB;1087;1124;1285;1199;1572;1645;1525;1359;987;843;420;111;2017
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;114;80;99;102;143;174;217;259;331;443;562;718;2017
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;719;668;735;697;825;882;805;680;654;597;473;434;2017
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;6;6;9;3;7;4;3;10;3;9;4;3;2017
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;286;260;314;311;364;364;366;302;287;254;226;187;2017
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;85;86;108;99;153;192;161;125;146;103;59;71;2017
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;32;28;34;33;24;40;27;25;25;22;12;20;2017
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;201;178;173;139;161;155;136;110;109;112;92;80;2017
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;37;41;34;39;47;60;44;38;32;37;27;24;2017
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;8;6;6;10;3;3;3;11;5;5;3;5;2017
131700;Sonstiger schwerer sexueller Missbrauch von Kindern § 176a StGB;64;63;57;63;66;64;65;59;47;55;50;44;2017
131800;Sexueller Missbrauch von Kindern mit Todesfolge § 176b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2017
132000;Exhibitionistische Handlungen und Erregung öffentlichen Ärgernisses §§ 183, 183a StGB;407;444;572;533;829;870;857;864;595;619;463;361;2017
132010;Exhibitionistische Handlungen § 183 StGB;372;391;504;472;733;760;749;765;529;555;399;326;2017
132020;Erregung öffentlichen Ärgernisses § 183a StGB;35;53;68;61;96;110;108;99;66;64;64;35;2017
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;59;63;61;59;51;48;56;46;40;36;12;1;2017
133000;Sexueller Missbrauch von Jugendlichen § 182 StGB;7;12;6;4;4;8;15;21;20;32;32;33;2017
133100;Sexueller Missbrauch von Jugendlichen gegen Entgelt § 182 Abs. 2 StGB;2;1;2;0;0;1;4;8;2;2;5;1;2017
133700;Sonstiger Sexueller Missbrauch von Jugendlichen § 182 StGB;5;11;4;4;4;7;11;13;18;30;27;32;2017
134000;Sexueller Missbrauch Widerstandsunfähiger § 179 StGB;9;17;10;8;6;11;9;7;9;2;2;0;2017
140000;Ausnutzen sexueller Neigung §§ 180, 180a, 181a, 184, 184a, 184b, 184c, 184d, 184e, 184f, 184g StGB;983;789;809;665;589;552;555;569;440;456;378;322;2017
140010;Ausübung der verbotenen Prostitution § 184f StGB;69;48;44;37;56;39;39;53;41;55;44;43;2017
140020;Jugendgefährdende Prostitution § 184g StGB;0;1;1;1;5;1;1;0;0;1;1;3;2017
141000;Förderung sexueller Handlungen Minderjähriger oder Ausbeuten von Prostituierten §§ 180, 180a StGB;16;9;7;6;3;9;7;7;10;9;6;8;2017
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;13;7;5;4;2;6;5;4;4;5;1;0;2017
141100;Förderung sexueller Handlungen Minderjähriger § 180 StGB;1;2;0;0;0;1;1;2;4;2;1;7;2017
141110;Förderung sexueller Handlungen Minderjähriger durch Vermittlung oder gegen Entgelt § 180 Abs. 1, Nr. 1, Abs. 2 StGB;0;1;0;0;0;0;0;0;1;1;1;3;2017
141179;Sonstige Förderung sexueller Handlungen Minderjähriger § 180 StGB;1;1;0;0;0;1;1;2;3;1;0;4;2017
141200;Ausbeuten von Prostituierten § 180a StGB;2;0;2;2;1;2;1;1;2;2;4;1;2017
142000;Zuhälterei § 181a StGB;15;13;5;10;7;7;10;7;10;7;4;8;2017
143000;Verbreitung pornographischer Schriften (Erzeugnisse) §§ 184, 184a, 184b, 184c, 184d, 184e StGB;883;718;752;611;518;496;498;502;379;384;323;260;2017
143010;Sonstige Verbreitung pornographischer Schriften (Erzeugnisse) § 184 StGB;66;73;95;74;63;67;80;71;65;63;57;52;2017
143020;Verbreitung gewalt- oder tierpornographischer Schriften § 184a StGB;8;6;8;10;5;4;7;6;2;5;1;4;2017
143030;Zugänglichmachen pornographischer Inhalte mittels Rundfunk oder Telemedien;2;3;10;5;5;2;2;1;2;2;4;1;2017
143040;Veranstaltung und Besuch kinder- und jugendpornographischer Darbietungen § 184e StGB;0;0;0;0;1;0;0;0;0;0;0;0;2017
143100;Verbreitung pornographischer Schriften (Erzeugnisse) an Personen unter 18 Jahren § 184 Abs. 1 Nr. 1, 2, 5 StGB;129;82;102;83;65;89;56;78;60;53;56;47;2017
143200;Verbreitung, Erwerb, Besitz und Herstellung kinderpornographischer Schriften § 184b StGB;579;454;454;340;291;267;267;287;170;179;149;111;2017
143210;Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornographie § 184b Abs. 1 StGB;334;229;256;192;153;137;121;114;86;87;68;59;2017
143211;Verbreitung von Kinderpornographie § 184b Abs. 1 Nr. 1 StGB;295;207;223;170;133;123;105;94;70;75;55;47;2017
143212;Besitzverschaffung für andere von Kinderpornographie § 184b Abs. 1 Nr. 2 StGB;23;12;21;16;11;5;6;6;6;7;5;2;2017
143213;Herstellung auch ohne Verbreitungsabsicht von Kinderpornographie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB;6;7;7;3;4;4;6;11;7;4;7;9;2017
143214;Herstellung mit Verbreitungsabsicht von Kinderpornographie § 184b Abs. 1 Nr. 4 StGB;10;3;5;3;5;5;4;3;3;1;1;1;2017
