Schlüssel;Straftat;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
------;Straftaten insgesamt;425082;403994;450471;448044;431444;448801;455544;439112;415453;419766;395168;357963;2019
0;Straftaten gegen das Leben;223;193;213;207;224;240;218;229;211;181;159;147;2019
10000;Mord § 211 StGB;56;49;47;47;49;60;46;44;59;36;38;33;2019
10079;Sonstiger Mord;54;45;44;46;46;59;46;43;59;32;35;33;2019
11000;Mord im Zusammenhang mit Raubdelikten;2;4;3;1;2;1;0;1;0;2;3;0;2019
12000;Mord im Zusammenhang mit Sexualdelikten;0;0;0;0;1;0;0;0;0;2;0;0;2019
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;110;97;128;125;131;129;125;128;105;113;87;83;2019
20010;Totschlag § 212 StGB;107;97;124;125;130;125;123;125;104;112;87;83;2019
20020;Minder schwerer Totschlag § 213 StGB;0;0;0;0;0;0;1;0;0;0;0;0;2019
20030;Tötung auf Verlangen § 216 StGB;3;0;4;0;1;4;1;3;1;1;0;0;2019
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;44;43;32;30;36;45;43;49;40;29;31;27;2019
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;13;4;6;5;8;5;4;8;7;3;3;4;2019
40010;Schwangerschaftsabbruch § 218 StGB;12;4;6;4;8;5;4;8;7;3;3;4;2019
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;1;0;0;0;0;0;0;0;0;0;0;0;2019
40030;Ärztliche Pflichtverletzung § 218c StGB;0;0;0;0;0;0;0;0;0;0;0;0;2019
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;0;0;0;1;0;0;0;0;0;0;0;0;2019
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;0;0;0;0;0;0;0;0;0;0;0;0;2019
50000;Geschäftsmäßige Förderung der Selbsttötung;0;0;0;0;0;1;0;0;0;0;0;0;2019
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;4942;4757;4769;5424;4730;5654;5157;4975;4311;3908;3626;2975;2019
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;2026;1878;2160;2259;2041;2786;2513;2486;2153;1965;1835;1560;2019
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;652;542;650;676;608;806;724;693;608;590;528;405;2019
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;610;492;604;623;562;741;679;636;574;532;481;382;2019
111710;Vergewaltigung § 177 Abs. 6  Nr. 1, 2 StGB (ohne Schlüssel 111730);495;400;493;488;460;581;541;518;451;419;374;299;2019
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1,  2  i. V. m. Abs. 7, 8 StGB;29;33;40;39;39;57;36;41;36;40;36;29;2019
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6  Nr. 1, 2  StGB;86;59;71;96;63;103;102;77;87;73;71;54;2019
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;42;50;46;53;46;65;45;57;34;58;47;23;2019
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1)  i. V. m. Abs. 6  Nr. 2, Abs. 7, 8 StGB;22;23;31;23;28;30;19;19;19;31;24;9;2019
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6  Nr. 2, Abs. 7, 8 StGB;16;19;9;23;13;26;13;32;7;18;13;8;2019
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall  § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6  Nr. 2, Abs. 7, 8 StGB;4;8;6;7;5;9;13;6;8;9;10;6;2019
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;0;0;0;0;0;0;0;0;0;0;0;0;2019
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;421;378;405;406;389;535;505;424;423;394;354;311;2019
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9  StGB;195;149;173;166;191;230;217;181;199;168;162;128;2019
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;182;186;181;197;153;234;228;186;176;174;158;149;2019
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;44;43;51;43;45;71;60;57;48;52;34;34;2019
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;35;32;36;36;33;22;34;35;27;31;29;18;2019
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174  StGB;21;22;23;24;23;14;22;23;11;15;18;10;2019
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;2;1;2;3;4;6;3;3;7;2;6;4;2019
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;0;0;0;0;0;0;0;0;0;1;0;0;2019
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;12;9;11;9;6;2;9;9;9;13;5;4;2019
114000;Sexuelle Belästigung § 184i StGB;914;925;1065;1139;1010;1422;1250;1330;1095;948;922;826;2019
115000;Straftaten aus Gruppen § 184j StGB;4;1;4;2;1;1;0;4;0;2;2;0;2019
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;1274;1290;1580;1540;1418;1992;1741;1662;1339;1120;979;838;2019
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;782;781;880;921;790;954;800;731;707;605;506;467;2019
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;9;5;6;8;7;3;4;7;8;4;8;6;2019
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;299;303;362;390;320;400;345;325;294;253;207;201;2019
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;76;90;145;105;110;181;122;105;113;87;71;57;2019
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;33;33;39;31;19;36;31;18;28;29;14;17;2019
